,potential_ceo_company
120657,The Boeing Company
120850,Jeffery Ubben
121000,Ron Johnson
121003,Mike Ullman
121575,Chairman
121883,Apple
121891,Apple
122003,Robert
122118,Tim Cook Earnings
122597,Tim Cook Apple
122621,Discussion Analysis Financial Condition Results Operations
122626,Form
122672,Elon Musk Tweeted
123122,Netflix
123146,Ron Johnson
123154,Penney
123155,Allen Questrom
123156,Ron Johnson
123158,Carol Bartz
123166,Ron Johnson
123227,Brian Moynihan
123232,Bank America
123678,Spencer Rascoff
123681,Reed Hastings Tesla
123682,Elon Musk Twitter
123723,Netflix
123725,Reed Hastings
123795,Sandy Weill
123894,Ron Johnson
123901,Mike Ullman
123906,Penney
124196,Tim Cook
124302,Alan Mulally Ford
124504,Penney
124510,Pershing Square
124511,Capital Management
124703,Elon Musk
124786,Elon Musk
125115,Paul SakumaVerizon
125116,Lowell McAdam
125396,Immelt
126017,Citi
126668,Editor
126783,Obama Administration Congressional Republicans
127516,Investment Management Consultants Association
127707,Obesity
127853,Twitter
127854,LauraDimon
127855,Morgan Chase
127856,Jamie Dimon
127857,Laura
127858,Daily Beast
128146,Frank Bisignano
128147,First Data Corp
128148,Matt Zames
128150,Jamie Dimon
128646,Skiddy
128647,Stade
128648,OneWire
128650,Street
128725,Blackstone Chairman
128727,Founder Steve Schwarzman
128728,Veterans
128944,Skiddy
128945,Stade
128946,OneWire
128952,Peter Crisp
129214,Twitter
129770,Marketaction
129796,Tim Mrock CitrinGroup Tim Mrock
129797,CitrinGroup
129800,Model Portfolio Construction Implementation
129878,Chairman
129924,Commodity Futures Trading Commission Technology Advisory Committee
130028,InsiderMike JeffriesIt
130032,Penney
130035,Fitch Co
130036,Michael Jeffries
130037,Simon Property Group
130038,David Simon
130039,Oracle Corp
130040,Larry Ellison
130042,Howard Schultz
130044,Leslie Moonves
130045,Ralph Lauren Corp
130046,Ralph Lauren
130047,Nike
130048,Mark Parker
130240,National Republican Congressional Committee
130835,Bloomberg
130978,Yahoo
130983,Yahoo
131075,Fortune
131335,Cam Fine
131336,Independant Community Bankers America
131381,Bob Diamond
131442,Bob Diamond
131450,Diamond
131759,Mayor Michael Bloomberg Home Depot
131760,Frank Blake Barclays
131761,Bob Diamond
131762,Rupert Murdoch
131782,Mike Ullman
131784,Penney
131786,Ron Johnson
131973,Jeff Immelt
131975,Michael Eisner
131977,Jamie Dimon Martha Stewart
131978,Bill Gates
132051,Another
132116,Fortune
132212,Lloyd Blankfein
132754,Morris Price Utah
132763,Reuters Berkshire Hathaway
132764,Warren Buffett
132765,Microsoft Chairman Bill Gates
133037,Day
133163,Warren Buffett
133245,Goldman Sachs
133275,Erian Ph
133277,Pimco
133615,Jim Hughes
133889,Warren
134223,Berkshire Hathaway
134327,John Donahoe
134480,Katherine Graham
134481,The Washington Post
134664,Bill Ackman
134721,Mike Duke
134953,Rex Tillerson
134988,Investment Management Consultants Association
134994,Citigroup
135059,Os
135139,Chairman Board
135159,Institutional Shareholder Services Glass Lewis
135160,Morgan
135169,Elon Musk
135512,Jack Chubb
135513,Monday Fojas Estrera
135613,Microsoft
135712,Jamie Dimon
135782,Charts
135783,Slotin
135784,Hudson
135829,Greenlight
135996,Starbucks
136038,Brian
136039,Rs President
136056,Starbucks
136167,Jeff Skilling
136169,Enron
136269,Berkshire Hathaway
136298,Berkshire Hathaway Inc
136299,Warren Buffett Goldman Sachs President Gary Cohn
136521,Don Thompson
136988,Sub
137117,Ackman
137119,Loeb
137187,Stop Soldier SuicideHundreds
137389,Tesla
137686,Einhorn
137949,President Obama Obamacare
137965,Marissa Mayer Kleiner Perkins
138057,Daniel Doctoroff
138113,Cole Wilcox
138114,Longboard Asset Management
138115,Phoenix Wilcox
138120,Tesla
138121,Elon Musk
138136,Tesla
138562,Nanex
138569,Wired Nanex
138570,Eric Hunsader Flash Trading Detective Work
138762,Leader Bloomberg
139193,Elon Musk
139199,Hal Harvey
139200,Energy Innovation Policy Technology
139406,Amazon
139407,Stewart
139700,Dan Doctoroff
139731,Os
139791,Wall Street
139875,It
140079,Daniel Doctoroff
140483,Our
140614,Penney
140707,Ron Johnson
140715,Mike Ullman
140781,Northrop Grumman
140782,Thomas Jones
140884,Daniel Doctoroff
140899,Bloomberg
140938,Dick Costolo
141174,Co Chairman
141175,Jamie Dimon
141547,Robert Benmosche
141614,Berkshire
141737,Dan Doctoroff Bloomberg
141738,Matt Winkler Bloomberg
141874,Elon Musk
141976,Argument In October
142042,Os
142043,Book Andrew Ross Sorkin
142044,Sony Corp
142047,Os
142055,Hart
142176,Bloomberg
142177,Bloomberg
142179,Goldman
142355,Morgan
142510,Billiton Andrew Mackenzie
142537,Eric LefkofskyThe
142538,Os Groupon Eric Lefkofsky Ted Leonsis
142543,Andrew Mason
142545,Os Lefkofsky Leonsis
142546,Washington Capitals
142554,Groupon
142557,Leonsis
142564,Lefkofsky
142567,Groupon
142656,Moreover Tesla
142657,Elon Musk
142699,Elon Musk
142712,Cisco Chairman
142713,John Chambers
142764,Bill Ackman
142775,Elon Musk
142778,Elon Musk
142789,Elon Musk
142980,Nutronics Labs
142983,Lentini
143040,Elon Musk
143059,Tesla
143077,Elon Musk
143078,Steve Jobs
143099,Tom Gage
143100,Propulsion
143103,Elon Musk
143182,Apple
143445,Carrazza
143446,Solaia Capital Chairman Patriot National Bank
143683,Netflix
143712,Tesla
143726,Michael Jeffries
143847,Elon Musk South African
143852,Musk America
143997,Michael Carrazza
144132,OneWire
144133,Skiddy
144134,Stade
144135,Deborah Wright President
144136,Carver Bancorp
144154,Carver Bancorp President
144155,Carver
144247,Mike Duke
144251,Duke
144355,Facebook Facebook
144374,Facebook
144486,Kirk
144487,June
144519,Jimmy Cayne
144520,Bear Stearns
144525,Bear Stearns
144526,Jimmy Cayne
144564,Lloyd Blankfein
144565,From Reuters
144634,Elon Musk
144658,Elon Musk
144710,Trust
144722,Mike Duke
144871,Italy
145009,Doug Oberhelman
145017,Os
145072,Reuters
145407,Sam Palmisano
145409,Palmisano
145415,Bloomberg
145455,Sam Palmisano
145457,Chairman
145460,Chairman
145484,Founder
145839,Greek
146035,Business Insider
146495,Sam Palmisano
146563,Despite
146584,Sources Recession Forecasts Dwaine
146585,Vuuren
146586,RecessionAlert
146798,Jamie Dimon
146803,Proxy
146823,Os
146871,Back
147179,Iowa Lottery
147244,Jamie Dimon
147249,Chairman Board
147250,Chairman
147254,Old Testament Justice
147282,Dimon
147300,Chairman
147419,Capital
147570,Lloyd Blankfein
147641,Phil Baldwin
147642,CredAbility
147652,John Gainor
147653,Dairy Queen
147654,Smores Blizzard
147690,Fishermen Conservation Association
147753,Jamie Dimon
147756,Dimon
147802,Dimon
147812,Dimon
147815,Dimon
147820,Salmon
147882,Marissa Mayer
147883,Marissa
147900,Chairman
147902,Jamie Dimon
147907,Dimon
147913,Dimon
148044,Capital
148107,Stephen CherninTumblr
148108,David KarpGood
148267,Richard Ketchum
148280,ScreenshotApple
148281,Tim Cook
148282,Congress Apple
148289,Tim Cook
148363,Brookings Institute
148447,Tampa Fla
148584,It
148787,Twitter Monday
148834,Yahoo
148863,We
148864,Mayer
148922,Chairman
148930,Jamie Dimon
149042,Chairman
149065,Tim Cook
149066,Senate Permanent Subcommittee Investigations
149120,Ackman
149172,Jamie Dimon
149192,Morgan
149195,Jamie Dimon
149198,Exxon Mobil Corp Chairman
149199,If Jamie
149203,Mayo
149253,Home Depot Chairman
149254,Frank Blake
149303,Os Dimon
149311,Cavanagh
149317,Jamie Dimon
149389,Ryan Safady
149390,Pennsauken New Jersey Also
149417,Mark Zuckerberg
149465,Chairman
149737,Is Considering A Proposal That Would Require Brokers To Disclose Bonuses To Their Clients The Wall Street Journal The Financial Industry Regulatory Authority
149738,Richard Ketchum
149860,July
149985,Thomas Laubach Associate Directors Division Research Statistics Board Governors David Bowman Deputy Associate Director Division International Finance Board Governors Steven
150036,March
150198,Chairman
150217,Former
150617,Guest GuestDay
150659,Taxi Club Management
150660,Gene Friedman
150839,Monday
150973,Procter
150979,McDonald
151118,Nanex
151240,BigThink
151241,Greenlight Capital
151339,Lloyd Blankfein Bloomberg
151555,Sachs
151583,Bloomberg Businessweek Herbalife
151584,Michael Johnson
151909,Meg Whitman
152147,Os
152151,Os
152162,Os
152168,Os
152238,Erian
152277,Lafley
152791,Citigroup
152809,Dimon
153036,FlightAware
153062,Os
153064,Os
153065,Whitman Hewlett
153066,Packard
153068,Occidental Petroleum Stephen Chazen
153069,Os
153071,Os
153072,Os
153082,Hewlett
153083,Packard
153084,Meg Whitman
153105,Joe Kennedy
153633,Roberts General Partner
153634,Streettalk Advisors
153932,John Sculley
153979,Ireland
154077,You
154284,Kyle Bass Altegris President
154285,Jon Sundt
154862,Minister David Cameron
155004,Someone
155009,The
155042,Twitter
155146,July
155253,January
155254,January
155533,Elon Musk
155544,Elon Musk
155559,Richard CarsonFormer Enron
155560,Jeff Skilling
155787,Tesla
155863,Twitter
156000,Frequently
156220,Tesla
156225,Bill Smead
156226,Smead Capital Management
156452,Tesla Motors
156521,Elon Musk
156554,Mark BlinchTesla Motors
156556,Tesla Motors
156569,Deepak Ahuja
156724,Citi
156779,Tim Cook
156845,Bloomberg
157315,We
157498,Thomson Reuters Corp Bloomberg
157500,Lex Fenwick
157687,Joshua RobertsWall Street
157690,Best Paid Banking
157691,Os North America
157705,Economic Outlook Organisation Economic Cooperation Development
157785,Marissa Mayer
158164,James Gorman
158165,Caroline
158216,Morgan Stanley
158298,Bruce Rose Carrington
158334,David Miller
158338,Steve Schmitz President Laurie Hawkes
158473,March
158645,Constitution Beneficiaries Agreement
158647,This
158967,Chairman
158969,Kravis Co
158970,Founder Co
158976,Chairman
158982,Chairman
159466,Organization Economic Cooperation Development
159984,Space
159988,Dan Doctoroff
159990,Chief Matthew Winkler
159992,Doctoroff
160055,Citigroup
160058,Sandy Weill Grubman
160074,Jason ReedApple
160075,Tim Cook
160178,Business Insider
160668,Films
160708,Getty ImagesApple
160709,Tim Cook
160711,Worldwide Developers Conference
161765,Steve Ballmer
162037,Royal Dutch Shell
162047,Morgan
162306,American
162621,Department Housing Preservation Development Commissioner Mathew
163112,Nissan
163481,Hayne
163482,Richard Hayne
163507,Philip Palaveev
163508,The Ensemble Practice
163571,Cosgrove
163572,Cleveland Clinic
163613,Jason Ader
163614,Ader Investments
163713,Goldman
163780,Ginni Rometty
163781,Cloud Services
163793,Rometty
163794,Sam Palmisano
164028,Bay
164089,MatlinPatterson Global Advisors
164092,Gleacher
164154,OneWire
164155,Skiddy
164156,Stade
164157,Glenn Hutchins Co
164206,Mark Fleming CoreLogic
164523,Os
164690,Chief Restructuring Officer
164714,Thomas Hughes
165826,Elon Musk
165965,Fortune Global Forum Chengdu China
166342,Leo Apotheker
166344,Bloomberg
166448,Spencer Rascoff
166535,Chesapeake Energy Aubrey McClendon
166746,Lloyd Blankfein
166791,Sachs
166793,Os
166834,Os
166894,Gleacher
166918,Os
166989,United States Europe
167290,Larry Page
167483,Curalate
167484,Apu Gupta Wharton
167802,Bo
167859,Spencer Rascoff
168082,Mohamed El
168692,Jones
168707,Soros
168863,Japan
168999,Senate
169288,Outlook For
169299,LululemonLululemon
169300,Christine Day
169346,Government Communication Headquarters
169565,Tim Cook
169602,Monday San Francisco
169604,World Wide Developers Conference
169632,Tim Cook
169698,Shaffer Solovay Jacki Zehner Susan Shaffer Solovay
169699,Founder
169700,Pomegranate Capital
170060,Group
170157,Board
170378,Elon Musk
170448,On Deck
170449,Noah Breslow
170922,Jamie Dimon
171001,Christine Day
171017,Lululemon
171226,Christine Day
171230,Christine Day
171442,Mexico City
171443,Inge Thulin Mexican
171444,Carlos Slim
171532,Jeff Joerres
171541,Manpower
171614,Don Blandin
171615,Investor Protection Trust
171629,Board
171760,Nelson
171840,Ted Beck
171841,National Endowment Financial Education
171863,Former Merrill Lynch
171864,John Thain
171985,Former Qwest
171986,Joseph Nacchio
172136,Business Insider
172239,CreditKarma
172240,Ken Lin
172316,ScreenshotGoogle
172317,Larry Page
172348,Chairman Richard
172349,Dick Grasso
172568,Anand Nallathambi
172569,CoreLogic
172948,Investment News
173073,Conservatives Revolutionary Guards
173081,Revolutionary Guards Radical Conservatives
173279,Rupert Murdoch
173388,Gamble
173406,The Motley Fool
173408,Rupert Murdoch
173409,Wendi Deng
173438,Nanex
173516,News Corp
173517,Rupert Murdoch
173518,Wendi Deng
173525,News Corp
173531,News Corp
173541,PoliticoGoldman Sachs
173542,Chairman Lloyd Blankfein
173701,Christine Day
173752,Lloyd Blankfein
173753,Dealbook So Mr
173796,Getty ImagesGoldman Sachs
173797,Lloyd Blankfein
173870,Emergency Unemployment Compensation
174646,Social
174661,You
174903,Congress
175152,Lloyd Blankfein
175183,Google
175675,Erian
175861,We
176069,David Evansen Richard Ketchum
176070,Susan Axelrod
176153,Blackstone David Blitzer Highbridge Capital
176154,Todd Builione Goldman Head Americas
176166,Goldman Sachs
176282,Bloomberg
176543,Os Take
176547,Kaplan
176549,Os
176550,Gabaix Landier
176551,Mankiw
176660,Silicon Valley
177816,Mike
177906,Third Point Sony
177907,Kazuo Hirai
177913,Loeb
178629,Apple
178839,Chairman
178841,Chairman
178853,Chairman
179347,He
179370,Ron Johnson
179563,Os
179631,Fred Smith
179711,Christine
179881,Tim ShafferFord
179882,Alan MulallyJapan
180005,Las Vegas Sands
180033,Getty Images Sheldon Adelson
180034,Las Vegas Sands
180035,Bloomberg
180354,Pascal RossignolRyanair
180356,The European Union
180357,Ryanair
180358,Michael OLeary
180768,Barclays
180771,Barclays
181200,Ermotti
181203,Crew
181357,Elon Musk
181361,Steve Jobs
181400,Our
182266,Mohamed El
182633,CrediCorp Capital
182634,Christian Laub
182651,Os
182662,Os
182791,Os
182919,Yahoo
182985,Anglo Irish Bank
182986,David Drumm
183040,Os
183132,David Drumm
183235,Jefferies
183529,John Hammergren
183530,McKesson Corporation
183531,Vision Center
183533,Kesson
183535,John Hammergren
183537,McKesson Chairman
183538,John Hammergren
183542,Os
183629,Mickey Arison
183643,Miami Heat
183799,Bloomberg
184112,He
184133,SearchMedia Holdings
184134,Tiger Media Inc
184147,Conway
184292,George Zimmer
184310,Doug Ewert
184324,Doug Ewert
184339,Doug Ewert
184356,Jefferies
184365,The
184383,April
185024,July
185150,Bryan Mistele
185583,Day
185808,Global
185882,Jonathan ErnstFormer
185885,House Financial Services Committee Oversight Investigations Subcommittee
185890,Jon Corzine
185901,Jon Corzine
185999,Offices Southern District New York Northern District Illinois Federal Bureau Investigation Securities Exchange Commission Financial Conduct Authority United Kingdom
186483,Varin
186570,ClinkleClinkle
186571,Lucas Duplan
186578,Owen Van Natta Salesforce
186579,Marc Benioff
186580,Qualcomm VMware
186794,Chief Global Strategist Euro Pacific Capital
186799,Peter Schiff
186997,Apple
187029,FinancialCourtesy Sotheby International RealtyFormer Tommy Hilfiger
187030,Joel Horowitz
187765,Travis Tygart
187791,Most
187835,Fred Prouser Brazilian Eike Batista
188138,Investor Credit Lance Roberts General Partner
188139,Streettalk Advisors
188380,President Aaron Regent
188497,Lorillard Tobacco New York Stock Exchange
188504,Lorillard
188724,Poor
189079,Neighborhood Assistance Corporation America
189108,Mark Zuckerberg
189199,Anthropology Market Anthropology Market Anthropology Market Anthropology Market Anthropology Market Anthropology Market Anthropology Market AnthropologyWikimedia Commons
189534,Michael Sweeney Chairman
189739,Schulz
190030,March
190031,Christine Day
190180,Os
190191,Barron
190304,Red Peak Branding
190785,Sorkin
190820,Richard Branson
191068,Aubrey McClendon
191124,Ms
191292,Knight Capital Chairman
191293,Tom Joyce
191296,Knight Capital Group
191299,Knight
191480,Representatives Financial Services Committee
191645,Michael Dell
192409,Great
192855,Citi
193053,Photo
193093,Even
193425,America
193475,Gen
193545,Gary Guthart
193588,Klaus Kleinfeld
